Abiotrophia
Anaerotruncus
Anaerotruncus colihominis
Anaerotruncus sp. G3(2012)
Anaerovorax
Anelloviridae
Aneurinibacillus
Anoxybacillus
Anoxybacillus kestanbolensis
Antrodiella
Aphanothecaceae
Aquabacterium
Arcanobacterium
Arcobacter
Arthrobacter
Arthrobotrys oligospora
Arthrospira
Asaccharobacter
Ascomycota
Aspergillus flavus
Aspergillus ochraceoroseus
Aspergillus rambellii
Aspergillus sydowii
Aspergillus versicolor
Asteroleplasma
Atopobiaceae
Atopobium
Atopobium minutum
Atopobium parvulum DSM 20469
Atopobium sp.
Azohydromonas
Azospira
Babesia
Bacillaceae
Bacillales
Bacilli
Bacillus
Bacillus cereus
Bacillus coagulans
Bacillus megaterium
Bacillus sp. FJAT-22090
Bacillus thermoamylovorans
Bacteroidaceae
Bacteroidales
Bacteroides
Bacteroides acidifaciens
Bacteroides caccae
Bacteroides cellulosilyticus
Bacteroides clarus
Bacteroides eggerthii
Bacteroides finegoldii
Bacteroides fragilis
Bacteroides galacturonicus
Bacteroides helcogenes
Bacteroides intestinalis
Bacteroides nordii
Bacteroides ovatus
Bacteroides pyogenes
Bacteroides salyersiae
Bacteroides sp.
Bacteroides sp. 3_1_40A
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides zoogleoformans
Bacteroides-like sp. oral clone AU126
Bacteroidetes
Bacteroidia
Balneimonas
Barnesiella
Barnesiella intestinihominis
Barnesiellaceae
Basidioascus
Basidiomycota
Bdellovibrionaceae
Bdellovibrionales
Bergeriella
Bergeyella
Bergeyella zoohelcum
Betaproteobacteria
Bifidobacteriaceae
Bifidobacteriales
Bifidobacterium
Bifidobacterium adolescentis
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium bifidum
Bifidobacterium breve
Bifidobacterium catenulatum
Bifidobacterium catenulatum subsp. kashiwanohense
Bifidobacterium dentium
Bifidobacterium longum
Bifidobacterium longum subsp. longum
Bifidobacterium pseudocatenulatum
Bifidobacterium scardovii
Bifidobacterium sp.
Bifidobacterium thermacidophilum
Bilophila
Bilophila sp.
Bilophila wadsworthia
Blastococcus
Blastomonas
Blautia
Blautia coccoides
Blautia faecis
Blautia glucerasea
Blautia hansenii
Blautia luti
Blautia obeum
Blautia producta
Blautia sp.
Blautia sp. KLE 1732
Blautia wexlerae
Blumeria graminis
Boletus
Bombiscardovia
Bordetella
Bosea
Brachyspira
Brachyspiraceae
Bradyrhizobiaceae
Bradyrhizobium
Brevibacillus
Brevibacteriaceae
Brevibacterium
Brevundimonas
Brucella
Brucellaceae
Bryobacter
Bryobacterales
Buchnera
Buchnera aphidicola
Bulleidia
Bulleribasidiaceae
Burkholderia
Burkholderiaceae
Burkholderiales
Buttiauxella
Buttiauxella agrestis
Butyricicoccus
Butyricicoccus pullicaecorum
Butyricimonas
Butyrivibrio
Butyrivibrio crossotus
Calditrichaceae
Campylobacter
Campylobacter concisus
Campylobacter curvus
Campylobacter gracilis
Campylobacter hominis
Campylobacter rectus
Campylobacter showae
Campylobacter sp. oral taxon 044
Campylobacter ureolyticus
Campylobacteraceae
Campylobacterales
Candida
Candida albicans
Candida dubliniensis
Candida tropicalis
Candidatus Arthromitus
Candidatus Azobacteroides
Candidatus Azobacteroides pseudotrichonymphae
Candidatus Blochmannia
Candidatus Endolissoclinum
Candidatus Gracilibacteria
Candidatus Koribacter
Candidatus Midichloriaceae
Candidatus Parcubacteria
Candidatus Portiera
Candidatus Portiera aleyrodidarum
Candidatus Regiella
Candidatus Regiella insecticola
Candidatus Saccharibacteria
Candidatus Soleaferrea
Candidatus Solibacter
Candidatus Stoquefichus massiliensis
Candidatus Tremblaya
Capnocytophaga
Capnocytophaga canimorsus
Capnocytophaga gingivalis
Capnocytophaga leadbetteri
Capnocytophaga ochracea
Capnocytophaga sputigena
Cardiobacteriaceae
Cardiobacteriales
Cardiobacterium
Carnobacteriaceae
Carnobacterium
Catabacter
Catabacter hongkongensis
Catenibacterium
Catenibacterium mitsuokai
Catonella
Catonella morbi
Caudovirales
Caulobacter
Caulobacteraceae
Caulobacterales
Cellulomonadaceae
Cellulosimicrobium
Cellulosimicrobium sp. TH-20
Cenarchaeales
Centipeda
Centipeda periodontii
Centrocestus
Cetobacterium
Cetobacterium somerae
Chaetomiaceae
Chaetomium globosum
Chitinophagaceae
Chlamydia
Chlamydia pneumoniae
Chlamydiae
Chlamydiales
Chlamydiia
Chloracidobacterium
Chloroflexi
Christensenella
Christensenella minuta
Christensenellaceae
Chromatiales
Chryseobacterium
Chryseobacterium sp.
Chryseobacterium sp. IHB B 17019
Chrysochromulina ericina virus
Citrobacter
Citrobacter farmeri
Citrobacter sp.
Cladophialophora
Cladosporium
Clavibacter
Clavibacter michiganensis
Cloacibacillus
Cloacibacterium
Clostridia
Clostridia bacterium UC5.1-2D9
Clostridiaceae
Clostridiales
Clostridiales Family IV. Incertae Sedis
Clostridiales Family XIII. Incertae Sedis
Clostridiales Family XIV. Incertae Sedis
Clostridiales bacterium
Clostridioides difficile
Clostridium
Clostridium aminophilum
Clostridium baratii
Clostridium butyricum
Clostridium celatum
Clostridium clostridioforme
Clostridium colicanis
Clostridium colinum
Clostridium dakarense
Clostridium disporicum
Clostridium hylemonae
Clostridium innocuum
Clostridium methylpentosum
Clostridium perfringens
Clostridium phoceensis
Clostridium sp.
Clostridium sp. 7_2_43FAA
Clostridium sp. ATCC 29733
Clostridium sp. L2-50
Clostridium sp. M62/1
Clostridium sp. SY8519
Clostridium sporosphaeroides
Coccolithovirus
Colletotrichum higginsianum
Collinsella
Collinsella aerofaciens
Collinsella intestinalis
Collinsella stercoris
Collinsella tanakaei
Comamonadaceae
Comamonas
Conexibacteraceae
Congregibacter
Contracaecum
Coprobacillus
Coprobacillus sp.
Coprobacter
Coprobacter fastidiosus
Coprococcus
Coprococcus catus
Coprococcus comes
Coprococcus eutactus
Coprococcus sp. HPP0048
Coriobacteriaceae
Coriobacteriaceae bacterium 68-1-3
Coriobacteriales
Coriobacteriia
Coriobacterium
Coriobacterium glomerans
Cortinariaceae
Corynebacteriaceae
Corynebacteriales
Corynebacterium
Corynebacterium appendicis
Corynebacterium durum
Corynebacterium matruchotii
Corynebacterium sp.
Corynebacterium striatum
Crenarchaeota
Crepidotus
Cronobacter
Cupriavidus
Cutibacterium
Cutibacterium acnes
Cyanobacteria
Cystofilobasidiaceae
Cystofilobasidiales
Debaryomyces fabryi
Deferribacteraceae
Deferribacterales
Deferribacteres
Defluviicoccus
Defluviitalea
Defluviitaleaceae
Dehalobacter
Dehalobacterium
Deinococcaceae
Deinococcales
Deinococci
Deinococcus
Deinococcus grandis
Deinococcus-Thermus
Delftia
Deltaproteobacteria
Denitratisoma
Desulfobacterales
Desulfobulbus
Desulfocapsa
Desulfococcus
Desulfovibrio
Desulfovibrio longreachensis
Desulfovibrio piger
Desulfovibrio vietnamensis
Desulfovibrionaceae
Desulfovibrionales
Devosia
Dialister
Dialister invisus
Dialister pneumosintes
Diaphorobacter
Diaporthe ampelina
Dietzia
Dioszegia
Dipylidium
Dorea
Dorea formicigenerans
Dorea longicatena
Edwardsiella
Eggerthella
Eggerthella lenta
Eggerthella sp. YY7918
Eggerthellaceae
Eggerthellaceae bacterium AT8
Eikenella
Eisenbergiella
Enhydrobacter
Enhydrobacter aerosaccus
Enorma
Enorma massiliensis
Enterobacter
Enterobacterales
Enterobacteria phage f1
Enterobacteriaceae
Enterobacteriaceae bacterium
Enterocloster asparagiformis
Enterocloster bolteae
Enterocloster citroniae
Enterocloster lavalensis
Enterococcaceae
Enterococcus
Enterococcus durans
Enterococcus faecalis
Enterococcus faecium
Enterococcus saccharolyticus
Enterocytozoon
Enterocytozoon bieneusi
Enterorhabdus
Enterorhabdus caecimuris
Enterorhabdus mucosicola
Entyloma
Entylomataceae
Entylomatales
Epsilonproteobacteria
Epulopiscium
Erwinia
Erysipelatoclostridium
Erysipelatoclostridium ramosum
Erysipelotrichaceae
Erysipelotrichales
Erysipelotrichia
Erysiphaceae
Erysiphe necator
Erythrobacteraceae
Escherichia
Escherichia albertii
Escherichia coli
Escherichia fergusonii
Ethanoligenens
Eubacteriaceae
Eubacterium
Eubacterium coprostanoligenes
Eubacterium hallii CAG:12
Eubacterium infirmum F0142
Eubacterium oxidoreducens
Eubacterium ramulus
Eubacterium ruminantium
Eubacterium sp.
Eubacterium ventriosum
Euryarchaeota
Exiguobacterium
Exobasidiomycetes
Exophiala mesophila
Ezakiella
Ezakiella coagulans
Facklamia
Faecalibacterium
Faecalibacterium cf. prausnitzii KLE1255
Faecalibacterium prausnitzii
Faecalibacterium sp.
Faecalibaculum
Faecalicatena fissicatena
Faecalicoccus
Faecalitalea
Faecalitalea cylindroides
Fannyhessea vaginae
Fastidiosipila
Ferrimonadaceae
Ferrimonas
Filifactor
Filifactor alocis
Filobasidiaceae
Filobasidiales
Filobasidium
Filobasidium uniguttulatum
Finegoldia
Firmicutes
Firmicutes bacterium ASF500
Firmicutes bacterium CAG:102
Firmicutes bacterium CAG:110
Firmicutes bacterium CAG:240
Flavobacteriaceae
Flavobacteriaceae bacterium 3519-10
Flavobacteriales
Flavobacteriia
Flavobacterium
Flavonifractor
Flavonifractor plautii
Fluviicola
Fonsecaea
Frateuria
Fretibacterium
Fretibacterium fastidiosum
Fusarium
Fusarium pseudograminearum
Fusibacter
Fusicatenibacter
Fusicatenibacter saccharivorans
Fusobacteria
Fusobacteriaceae
Fusobacteriales
Fusobacteriia
Fusobacterium
Fusobacterium gonidiaformans
Fusobacterium mortiferum
Fusobacterium naviforme
Fusobacterium necrophorum
Fusobacterium nucleatum
Fusobacterium nucleatum subsp. animalis
Fusobacterium nucleatum subsp. nucleatum
Fusobacterium nucleatum subsp. polymorphum
Fusobacterium nucleatum subsp. vincentii
Fusobacterium perfoetens
Fusobacterium periodonticum
Fusobacterium sp.
Fusobacterium sp. oral taxon 203
Fusobacterium varium
Gallionellaceae
Gammaproteobacteria
Gardnerella
Gardnerella vaginalis
Gelria
Gemella
Gemella haemolysans
Gemella morbillorum
Gemella sanguinis
Gemella sp.
Gemmatimonas
Gemmiger
Gemmiger formicilis
Geobacillus
Geobacter
Geobacteraceae
Geotrichum
Gluconacetobacter
Glutamicibacter
Gordonibacter
Gordonibacter pamelaeae
Granulicatella
Granulicatella adiacens
Granulicatella elegans
Grosmannia clavigera
Guignardia
Gymnopilus
Haemophilus
Haemophilus influenzae
Haemophilus parainfluenzae
Hallella
Halobacillus mangrovi
Halomonadaceae
Halomonas
Hanseniaspora
Hanseniaspora valbyensis
Hathewaya histolytica
Helicobacter
Helicobacter canadensis
Helicobacter pylori
Helicobacter sp.
Helicobacteraceae
Herbaspirillum
Herpesviridae
Holdemanella
Holdemanella biformis
Holdemania
Holdemania filiformis
Holdemania massiliensis
Holophagaceae
Holophagae
Holophagales
Howardella
Human orthopneumovirus
Hungatella
Hungatella hathewayi
Hungatella xylanolytica
Hydrogenoanaerobacterium
Hydrogenophaga
Hymenochaete
Hymenolepis
Hyphomicrobiaceae
Hyphomicrobium
Hyphomonadaceae
Hyphomonas
Idiomarina
Idiomarinaceae
Intestinibacter
Intestinibacter bartlettii
Intestinimonas
Intestinimonas butyriciproducens
Intestinimonas massiliensis
Intrasporangiaceae
Isoptericola
Janthinobacterium
Johnsonella
Johnsonella ignava
Jonquetella anthropi
Kaistia
Kalmanozyma brasiliensis
Kingella
Kingella sp. oral taxon 459
Klebsiella
Klebsiella aerogenes
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella sp.
Kluyvera
Knoellia
Kocuria
Kwoniella heveanensis
Kwoniella mangrovensis
Lachnoanaerobaculum
Lachnoanaerobaculum orale
Lachnoanaerobaculum saburreum
Lachnoanaerobaculum sp. ICM7
Lachnoanaerobaculum sp. OBRC5-5
Lachnoanaerobaculum umeaense
Lachnobacterium
Lachnobacterium bovis
Lachnoclostridium
Lachnospira
Lachnospira eligens
Lachnospira multipara
Lachnospira pectinoschiza
Lachnospiraceae
Lachnospiraceae bacterium 10-1
Lachnospiraceae bacterium 2_1_46FAA
Lachnospiraceae bacterium 2_1_58FAA
Lachnospiraceae bacterium 3_1_57FAA_CT1
Lachnospiraceae bacterium 5_1_63FAA
Lachnospiraceae bacterium A2
Lachnospiraceae bacterium MD335
Lachnospiraceae bacterium TF01-11
Lachnospiraceae bacterium oral taxon 455
Lacrimispora saccharolytica
Lactiplantibacillus plantarum
Lactobacillaceae
Lactobacillales
Lactobacillus
Lactobacillus acidophilus
Lactobacillus brevis
Lactobacillus casei
Lactobacillus coleohominis
Lactobacillus delbrueckii
Lactobacillus fornicalis
Lactobacillus gasseri
Lactobacillus iners
Lactobacillus jensenii
Lactobacillus johnsonii
Lactobacillus mucosae
Lactobacillus reuteri
Lactobacillus rhamnosus
Lactobacillus ruminis
Lactobacillus sakei
Lactobacillus salivarius
Lactobacillus sanfranciscensis
Lactobacillus sp.
Lactococcus
Lactococcus lactis
Lactococcus piscium
Lambdavirus
Lancefieldella parvula
Lancefieldella rimae
Lautropia
Lederbergvirus
Lentibacillus
Lentisphaerae
Lentisphaeria
Leptosphaeria
Leptosphaeriaceae
Leptothrix
Leptotrichia
Leptotrichia buccalis
Leptotrichia hofstadii
Leptotrichia sp. oral taxon 212
Leptotrichia sp. oral taxon 218
Leptotrichia sp. oral taxon 221
Leptotrichia trevisanii
Leptotrichiaceae
Leucobacter
Leuconostoc
Leuconostocaceae
Limnobacter
Limnohabitans
Limosilactobacillus fermentum
Lipomyces starkeyi
Lipomycetaceae
Listeria monocytogenes
Listeria sp.
Listeriaceae
Lupinus
Lutispora
Lysurus
Macrococcus
Macrophomina phaseolina
Malassezia
Malassezia globosa
Malassezia sympodialis
Malasseziaceae
Malasseziomycetes
Marasmiaceae
Marinobacter
Marvinbryantia
Massilia
Massilia alkalitolerans
Megamonas
Megamonas funiformis
Megamonas hypermegale
Megamonas rupellensis
Megasphaera
Megasphaera micronuciformis
Mesorhizobium
Metarhizium acridum
Metarhizium rileyi
Methanobacteria
Methanobacteriaceae
Methanobacteriales
Methanobrevibacter
Methanobrevibacter smithii
Methylobacteriaceae
Methylobacterium
Methylobacterium radiotolerans
Methylophaga
Methylophilaceae
Methylotenera
Methyloversatilis discipulorum
Metschnikowiaceae
Microbacteriaceae
Microbacterium
Microbacterium chocolatum
Microbispora
Micrococcaceae
Micrococcales
Micrococcus
Micrococcus luteus
Microvirgula
Microviridae
Mimivirus
Mitsuokella
Mobiluncus
Modestobacter
Mogibacterium
Mogibacterium sp.
Mogibacterium timidum
Mollicutes
Monilinia
Moniliophthora
Moniliophthora perniciosa
Moraxella
Moraxella osloensis
Moraxellaceae
Morganella
Morganella morganii
Moryella
Mucispirillum
Muribaculaceae
Mycobacterium
Mycoplana
Mycoplasma
Mycoplasma genitalium
Myoviridae
Myroides
Myxococcales
Naganishia
Negativibacillus
Negativicutes
Neisseria
Neisseria cinerea
Neisseria elongata
Neisseria mucosa
Neisseria oralis
Neisseria sicca
Neisseria sp.
Neisseria subflava
Neisseriaceae
Neisseriales
Neobacillus fumarioli
Nesterenkonia
Neurospora crassa
Nevskia
Nitrosomonadales
Nitrosomonas
Nitrososphaera
Nitrososphaeraceae
Nitrososphaerales
Nocardiaceae
Nocardioidaceae
Nocardioides
Nosema apis
Novispirillum
Novosphingobium
Novosphingobium aromaticivorans
Novosphingobium sp.
Oceanospirillaceae
Oceanospirillales
Ochrobactrum
Odoribacter
Odoribacter sp.
Odoribacter splanchnicus
Odoribacteraceae
Oenococcus oeni
Oenothera
Olsenella
Olsenella profusa
Olsenella sp. SIT9
Olsenella sp. oral taxon 809
Olsenella uli
Ophiocordyceps
Ophiostoma piceae
Opitutaceae
Opitutales
Oribacterium
Oribacterium parvum
Oribacterium sinus
Oribacterium sinus F0268
Oribacterium sp. oral taxon 108
Orthomyxoviridae
Orthopneumovirus
Orthopoxvirus
Oscillibacter
Oscillibacter ruminantium
Oscillibacter sp. 1-3
Oscillibacter sp. KLE 1745
Oscillibacter valericigenes
Oscillospira
Oscillospiraceae
Oxalobacter
Oxalobacteraceae
Oxobacter
Paenarthrobacter
Paenibacillaceae
Paenibacillus
Paeniclostridium
Paludibacter
Pandoraea
Pannonibacter
Pantoea
Pantoea agglomerans
Papillibacter
Papillibacter cinnamivorans
Parabacteroides
Parabacteroides distasonis
Parabacteroides distasonis ATCC 8503
Parabacteroides goldsteinii
Parabacteroides gordonii
Parabacteroides johnsonii
Parabacteroides merdae
Parachlamydiaceae
Paracoccus
Paraeggerthella
Paraprevotella
Parascardovia
Parascardovia denticolens
Parasporobacterium
Parastagonospora nodorum
Parasutterella
Parasutterella secunda
Parcubacteria bacterium RAAC4_OD1_1
Parvimonas
Parvimonas micra
Pasteurellaceae
Pasteurellales
Patulibacteraceae
Paucibacter
Paucisalibacillus
Pediococcus
Pedobacter
Pelagibacterium
Pelomonas
Peptacetobacter hiranonis
Peptoclostridium
Peptococcaceae
Peptococcus
Peptococcus sp.
Peptococcus sp. oral taxon 167
Peptoniphilaceae
Peptoniphilus
Peptostreptococcaceae
Peptostreptococcus
Peptostreptococcus anaerobius
Peptostreptococcus stomatis
Phaeobacter
Phaeocystis globosa virus
Phascolarctobacterium
Phascolarctobacterium succinatutens
Phenylobacterium
Phialophora
Phocaeicola coprocola
Phocaeicola coprophilus
Phocaeicola dorei
Phocaeicola massiliensis
Phocaeicola plebeius
Phocaeicola vulgatus
Photobacterium
Phycicoccus
Phycisphaerae
Phyllobacteriaceae
Phyllobacterium
Phyllobacterium sp.
Pigmentiphaga
Pirellulaceae
Piscirickettsiaceae
Pisolithaceae
Pisolithus
Planctomyces
Planctomycetes
Planctomycetia
Planococcaceae
Pleistophora
Pleosporales
Plesiomonas
Plesiomonas shigelloides
Pneumocystidomycetes
Pneumocystis
Pneumocystis murina
Pneumoviridae
Podoviridae
Polaromonas
Polyomaviridae
Pontibacter
Porphyromonadaceae
Porphyromonas
Porphyromonas asaccharolytica
Porphyromonas bennonis
Porphyromonas catoniae
Porphyromonas endodontalis
Porphyromonas gingivalis
Porphyromonas pasteri
Porphyromonas sp.
Porphyromonas uenonis
Poxviridae
Prevotella
Prevotella amnii
Prevotella bryantii
Prevotella buccae
Prevotella buccalis
Prevotella copri
Prevotella corporis
Prevotella denticola
Prevotella histicola
Prevotella intermedia
Prevotella melaninogenica
Prevotella multisaccharivorax
Prevotella nanceiensis
Prevotella nigrescens
Prevotella oralis
Prevotella oris
Prevotella pallens
Prevotella ruminicola
Prevotella salivae
Prevotella scopos
Prevotella shahii
Prevotella sp.
Prevotella sp. oral clone DO014
Prevotella sp. oral clone DO039
Prevotella sp. oral taxon 300
Prevotella sp. oral taxon 304
Prevotella sp. oral taxon 309
Prevotella sp. oral taxon 472
Prevotella sp. oral taxon 473
Prevotella stercorea
Prevotellaceae
Procabacteriaceae
Procabacteriales
Prochlorococcus
Promicromonosporaceae
Propionibacteriaceae
Propionibacteriales
Propionibacterium
Propionicimonas
Prosthodendrium
Proteiniphilum
Proteobacteria
Proteobacteria bacterium CAG:139
Proteus
Providencia
Providencia vermicola
Psathyrella
Psathyrella artemisiae
Psathyrellaceae
Pseudeurotiaceae
Pseudoalteromonas
Pseudobutyrivibrio
Pseudobutyrivibrio ruminis
Pseudochrobactrum
Pseudoflavonifractor
Pseudoflavonifractor capillosus
Pseudogymnoascus sp. VKM F-4518 (FW-2643)
Pseudogymnoascus sp. VKM F-4520 (FW-2644)
Pseudolabrys
Pseudomonadaceae
Pseudomonadales
Pseudomonas
Pseudomonas aeruginosa
Pseudomonas luteola
Pseudomonas putida
Pseudomonas sp.
Pseudomonas stutzeri
Pseudonocardiaceae
Pseudonocardiales
Pseudothermotoga
Pseudoxanthomonas
Psychrobacter
Psychrobacter pulmonis
Pucciniomycetes
Punavirus
Punctularia strigosozonata
Puniceicoccaceae
Pyramidobacter
Rahnella
Ralstonia
Raoultella
Reoviridae
Retroviridae
Rhizobiaceae
Rhizobiales
Rhizobium
Rhodanobacter
Rhodobacter
Rhodobacteraceae
Rhodobacterales
Rhodococcus
Rhodococcus sp.
Rhodococcus sp. 008
Rhodocyclaceae
Rhodocyclales
Rhodoferax
Rhodospirillaceae
Rhodospirillales
Rhodotorula
Rhodotorula graminis
Rhodotorula sp. JG-1b
Rickettsiales
Rikenella
Rikenellaceae
Robinsoniella
Robinsoniella peoriensis
Romboutsia
Romboutsia lituseburensis
Roseburia
Roseburia faecis
Roseburia hominis
Roseburia intestinalis
Roseburia inulinivorans
Roseburia sp.
Roseomonas
Roseomonas mucosa
Rothia
Rothia aeria
Rothia dentocariosa
Rothia mucilaginosa
Rubellimicrobium
Rubrobacter
Rubrobacteraceae
Rubrobacterales
Rubrobacteria
Ruminiclostridium
Ruminococcaceae
Ruminococcaceae bacterium D16
Ruminococcus
Ruminococcus albus
Ruminococcus bicirculans
Ruminococcus bromii
Ruminococcus callidus
Ruminococcus champanellensis
Ruminococcus flavefaciens
Ruminococcus gauvreauii
Ruminococcus sp.
Ruminococcus sp. N15.MGS-57
SR1 bacterium oral taxon 874
SR1 bacterium oral taxon 875
Saccharofermentans
Saccharomyces
Saccharomyces cerevisiae
Saccharomycetaceae
Saccharomycetales
Saccharomycetales sp.
Saccharomycetes
Saccharomycodaceae
Saccharopolyspora
Salmonella
Salmonella enterica
Saprolegnia
Saprospirales
Saprospiria
Sarcina
Sarcina sp.
Scardovia
Scardovia inopinata
Schaalia cardiffensis
Schaalia odontolytica
Schlegelella
Schlegelella aquatica
Schwartzia
Sediminibacterium
Segetibacter
Selenomonadaceae
Selenomonadales
Selenomonas
Selenomonas noxia
Selenomonas sp.
Selenomonas sputigena
Senegalimassilia
Senegalimassilia anaerobia
Serratia
Serratia marcescens
Shewanella
Shewanellaceae
Shigella
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Shigella sp. PAMC 28760
Shuttleworthia
Silene
Simonsiella
Simonsiella muelleri
Sinobacteraceae
Sinsheimervirus
Skermanella
Slackia
Slackia exigua
Slackia heliotrinireducens
Slackia piriformis
Sneathia sanguinegens
Solanum melongena
Solirubrobacterales
Solobacterium
Solobacterium moorei
Sordariomycetes
Sphingobacteriaceae
Sphingobacteriales
Sphingobacteriia
Sphingobacterium
Sphingobacterium multivorum
Sphingobium
Sphingobium xenophagum
Sphingobium yanoikuyae
Sphingomonadaceae
Sphingomonadales
Sphingomonas
Sphingomonas azotifigens
Sphingomonas paucimobilis
Spirochaeta
Spirochaetaceae
Spirochaetales
Spirochaetes
Spirochaetia
Spiroplasmataceae
Sporacetigenium
Sporobacter
Sporobacter termitidis
Sporosarcina
Staphylococcaceae
Staphylococcus
Staphylococcus aureus
Staphylococcus aureus subsp. aureus ST228
Staphylococcus auricularis
Staphylococcus epidermidis
Staphylococcus pasteuri
Staphylococcus sciuri
Stenotrophomonas
Stenotrophomonas acidaminiphila
Stenotrophomonas sp.
Sterigmatomyces elviae
Stomatobaculum
Stomatobaculum longum
Streptococcaceae
Streptococcus
Streptococcus alactolyticus
Streptococcus anginosus
Streptococcus australis
Streptococcus constellatus
Streptococcus cristatus
Streptococcus gallolyticus subsp. gallolyticus
Streptococcus gordonii
Streptococcus infantis
Streptococcus intermedius
Streptococcus lutetiensis
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus parasanguinis
Streptococcus peroris
Streptococcus phage PhiSpn_200
Streptococcus pneumoniae
Streptococcus pseudopneumoniae
Streptococcus salivarius
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus sp.
Streptococcus sp. 11aTha1
Streptococcus sp. I-G2
Streptococcus sp. VT 162
Streptococcus sp. oral clone DP009
Streptococcus sp. oral taxon 058
Streptococcus sp. oral taxon 431
Streptococcus thermophilus
Streptomyces
Streptomyces sp. SBT349
Streptophyta
Subdoligranulum
Subdoligranulum sp. 4_3_54A2FAA
Subdoligranulum variabile
Succinatimonas
Succiniclasticum
Succinispira
Succinivibrio
Succinivibrionaceae
Sulfurimonas
Sulfuritalea
Sutterella
Sutterella wadsworthensis
Sutterellaceae
Synergistaceae
Synergistales
Synergistes
Synergistetes
Synergistia
Syntrophococcus
Syntrophomonadaceae
Syntrophus
TM7 phylum sp. oral taxon 348
TM7 phylum sp. oral taxon 352
Talaromyces islandicus
Tannerella
Tannerella forsythia
Tenericutes
Tepidimonas
Tequatrovirus
Terrisporobacter
Terrisporobacter glycolicus
Thalassospira
Thaumarchaeota
Thermaceae
Thermaerobacter
Thermales
Thermicanus
Thermoanaerobacterales Family IV. Incertae Sedis
Thermodesulfobiaceae
Thermomonosporaceae
Thermus
Thielaviopsis
Thielaviopsis punctulata
Thiotrichales
Tissierellaceae
Torulaspora
Torulaspora delbrueckii
Toxocara
Trabulsiella
Tremellales
Treponema
Treponema amylovorum
Treponema denticola
Treponema lecithinolyticum
Treponema putidum
Treponema socranskii
Treponema sp. oral taxon 250
Trichinella
Trichococcus
Trichosporon
Trichosporonaceae
Trichosporonales
Truepera
Trueperaceae
Turicibacter
Turicibacter sanguinis
Turicibacter sp.
Tyzzerella
Tyzzerella nexilis
Urechidicola croceus
Variibacter
Veillonella
Veillonella atypica
Veillonella dispar
Veillonella parvula
Veillonella rogosae
Veillonella sp.
Veillonella sp. oral taxon 158
Veillonella sp. oral taxon 780
Veillonellaceae
Verrucomicrobia
Verrucomicrobiaceae
Verrucomicrobiae
Verrucomicrobiales
Vibrio
Vibrionaceae
Vibrionales
Vibrionimonas
Victivallaceae
Victivallales
Victivallis
Victivallis vadensis
Vogesella perlucida
Wallemia
Wautersiella
Weissella
Weissella viridescens
Wenyingzhuangia
